"Name","AppID"
"Run Script (x64)","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\AutoIt3\AutoIt3_x64.exe"
"Run Script (x86)","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\AutoIt3\AutoIt3.exe"
"Rust","steam://rungameid/252490"
"Rust - Staging Branch","steam://rungameid/700580"
"Rust Soundtrack","steam://rungameid/1701720"
"Satisfactory","steam://rungameid/526870"
"SceneBuilder","C:\Users\chave\AppData\Local\SceneBuilder\SceneBuilder.exe"
"SciTE Script Editor","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\AutoIt3\SciTE\SciTE.exe"
"Sea of Thieves","Microsoft.SeaofThieves_8wekyb3d8bbwe!AppAthenaShipping"
"SeaTools","Microsoft.AutoGenerated.{E2E83AA6-4C46-D0CC-F3CB-51A673E421EE}"
"Services","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\services.msc"
"Settings","windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel"
"Skype for Business","Microsoft.Office.lync.exe.15"
"Skype for Business Recording Manager","Microsoft.Office.OcPubMgr.exe.15"
"Snapchat","SnapInc.Snapchat_k1zn018256b8e!App"
"Snipping Tool","Microsoft.ScreenSketch_8wekyb3d8bbwe!App"
"Sound Recorder","Microsoft.WindowsSoundRecorder_8wekyb3d8bbwe!App"
"Spotify","C:\Users\chave\AppData\Roaming\Spotify\Spotify.exe"
"Spreadsheet Compare","Microsoft.Office.SPREADSHEETCOMPARE.EXE.15"
"Spyder (anaconda)","Microsoft.AutoGenerated.{C68C8D19-703D-F64A-0429-4C67782B3EFC}"
"SquareLine Studio 1.5.0","{6D809377-6AF0-444B-8957-A3773F02200E}\SquareLine Studio 1.5.0\SquareLine_Studio.exe"
"StartService","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Razer\Razer Services\GMS\StartService.bat"
"StartService","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Razer\Razer Services\Razer Central\StartService.bat"
"Steam","{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Steam\steam.exe"
"Steam Support Center","http://support.steampowered.com/"
"SteelSeries GG","SteelSeries.Gg.Main"
"Stellaris","ParadoxInteractive.Stellaris-MicrosoftStoreEdition_zfnrdv2de78ny!App"
"Steps Recorder","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\psr.exe"
"Sticky Notes","Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe!App"
"Sticky Notes (new)","Microsoft.Office.OneNote.MemoryPreview"
"System Configuration","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msconfig.exe"
"System Information","{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\msinfo32.exe"
"Task Manager","Microsoft.AutoGenerated.{923DD477-5846-686B-A659-0FCCD73851A8}"
"Task Scheduler","Microsoft.AutoGenerated.{C1C6F8AC-40A3-0F5C-146F-65A9DC70BBB4}"
"Telegram","Telegram.TelegramDesktop"
"Telemetry Log for Office","Microsoft.Office.msoev.exe.15"
"Terminal","Microsoft.WindowsTerminal_8wekyb3d8bbwe!App"
"The Anacrusis","steam://rungameid/1120480"
"thinkorswim","C:\Users\chave\AppData\Local\thinkorswim\thinkorswim.exe"
